date,price,lower,upper
2027-08-01,87.6891457952443,77.5343077703103,97.8439838201783
2027-09-01,87.7678627855569,77.5619152156726,97.9738103554412
2027-10-01,88.2499235187393,77.9931210794167,98.5067259580619
2027-11-01,88.7319842524583,78.4245778494849,99.0393906554318
2027-12-01,90.8274199536968,80.4696568152993,101.185183092094
2028-01-01,90.5027932042022,80.0949169700522,100.910669438352
2028-02-01,90.5815101965894,80.1237610038045,101.039259389374
2028-03-01,90.6602271890121,80.1528417552907,101.167612622734
2028-04-01,91.1422879232647,80.585499627279,101.69907621925
2028-05-01,91.6243486575264,81.0183876166926,102.23030969836
2028-06-01,93.7197843590401,83.0648775047744,104.374691213306
2028-07-01,93.3951576096851,82.6915287602501,104.09878645912
2028-08-01,93.4738746021431,82.7217445331833,104.226004671103
2028-09-01,93.5525915946017,82.7521781074616,104.353005081742
2028-10-01,94.0346523288724,83.1861703167859,104.883134340959
2028-11-01,94.5167130631433,83.6203745753792,105.413051550907
2028-12-01,96.6121487646617,85.6681630687055,107.556134460618
2029-01-01,96.2875220153091,85.2960956571579,107.27894837346
2029-02-01,96.3662390077683,85.3275758704122,107.404902145124
2029-03-01,96.4449560002275,85.3592573603857,107.530654640069
2029-04-01,96.9270167344986,85.7944813176784,108.059552151319
2029-05-01,97.4090774687696,86.2299015027103,108.588253434829
2029-06-01,99.5045131702881,88.27889043685,110.730135903726
2029-07-01,99.1798864209355,87.908008306493,110.451764535378
2029-08-01,99.2586034133947,87.9406589577874,110.576547869002
2029-09-01,99.3373204058539,87.9734963499484,110.701144461759
2029-10-01,99.819381140125,88.4098619720381,111.228900308212
2029-11-01,100.301441874396,88.8464098744274,111.756473874365
2029-12-01,102.396877575915,90.896512860234,113.897242291595
2030-01-01,102.072250826562,90.5267313896966,113.617770263427
2030-02-01,102.150967819021,90.5604695751836,113.741466062859
